input_file,mua,musp,n_int,f,phase,amplitude
0,0.46,0.5,1.4,0,0,0.038790934899548
0,0.46,0.5,1.4,0.125664,-0.020907701470558,0.038435732408758
0,0.46,0.5,1.4,0.471239,-0.074818553644013,0.034523994854392
0,0.46,0.5,1.4,0.942478,-0.13199094259971,0.027114272460911
0,0.46,0.5,1.4,3.14159,-0.23182209162409,0.012157870914155
0,0.46,0.5,1.4,6.28319,-0.26470355073438,0.0068555699618207
1,0.46,0.5,1.4049999999999998,0,0,0.038790934899548
1,0.46,0.5,1.4049999999999998,0.125664,-0.020907701470558,0.038435732408758
1,0.46,0.5,1.4049999999999998,0.471239,-0.074818553644013,0.034523994854392
1,0.46,0.5,1.4049999999999998,0.942478,-0.13199094259971,0.027114272460911
1,0.46,0.5,1.4049999999999998,3.14159,-0.23182209162409,0.012157870914155
1,0.46,0.5,1.4049999999999998,6.28319,-0.26470355073438,0.0068555699618207
2,0.46,1.0,1.4,0,0,0.079828329057821
2,0.46,1.0,1.4,0.125664,-0.014082155758743,0.079366827793564
2,0.46,1.0,1.4,0.471239,-0.051828430751691,0.073901401912831
2,0.46,1.0,1.4,0.942478,-0.098038276118394,0.061267631227751
2,0.46,1.0,1.4,3.14159,-0.21077766062639,0.025655634603894
2,0.46,1.0,1.4,6.28319,-0.25411790777671,0.014111885237463
3,0.41000000000000003,0.5,1.4,0,0,0.044050002664223
3,0.41000000000000003,0.5,1.4,0.125664,-0.022180776607046,0.043573317141983
3,0.41000000000000003,0.5,1.4,0.471239,-0.079057650057638,0.0384447732226
3,0.41000000000000003,0.5,1.4,0.942478,-0.13819776594757,0.029287379496594
3,0.41000000000000003,0.5,1.4,3.14159,-0.23648541871072,0.012548733817947
3,0.41000000000000003,0.5,1.4,6.28319,-0.26891410970685,0.0069362377826066
4,0.41000000000000003,0.5,1.4049999999999998,0,0,0.044050002664223
4,0.41000000000000003,0.5,1.4049999999999998,0.125664,-0.022180776607046,0.043573317141983
4,0.41000000000000003,0.5,1.4049999999999998,0.471239,-0.079057650057638,0.0384447732226
4,0.41000000000000003,0.5,1.4049999999999998,0.942478,-0.13819776594757,0.029287379496594
4,0.41000000000000003,0.5,1.4049999999999998,3.14159,-0.23648541871072,0.012548733817947
4,0.41000000000000003,0.5,1.4049999999999998,6.28319,-0.26891410970685,0.0069362377826066
5,0.41000000000000003,0.5,1.4099999999999997,0,0,0.044050002664223
5,0.41000000000000003,0.5,1.4099999999999997,0.125664,-0.022180776607046,0.043573317141983
5,0.41000000000000003,0.5,1.4099999999999997,0.471239,-0.079057650057638,0.0384447732226
5,0.41000000000000003,0.5,1.4099999999999997,0.942478,-0.13819776594757,0.029287379496594
5,0.41000000000000003,0.5,1.4099999999999997,3.14159,-0.23648541871072,0.012548733817947
5,0.41000000000000003,0.5,1.4099999999999997,6.28319,-0.26891410970685,0.0069362377826066
6,0.41000000000000003,0.5,1.4149999999999996,0,0,0.044050002664223
6,0.41000000000000003,0.5,1.4149999999999996,0.125664,-0.022180776607046,0.043573317141983
6,0.41000000000000003,0.5,1.4149999999999996,0.471239,-0.079057650057638,0.0384447732226
